Название,Жанр,Режиссёр,Страна,Год
Андра,приключения,Мэтт Симбер,"Испания,США",1983
"Анджело, моя любовь",драма,Роберт Дюваль,,1983
Анджело,Драма,Михаил Нароков,,
Андалузский пёс,"сюрреализм,авангард",Луис Бунюэль,,"6 июня,1929,1929"
"Ангус, стринги и поцелуи взасос","комедия,драма",Гуриндер Чадха,,2008
Ангус,комедия,Пэтрик Рид Джонсон,"США,Великобритания,Германия,Франция",1995
Англия!,драма,Ахим фон Боррис,Германия,2000
Андерграунд,"Трагикомедия,фантасмагория","Эмир Кустурица,[2]","Франция,Дания,Германия,Польша,Нидерланды,Австралия,Республика Корея,Испания,Швеция,Турция,Великобритания,Португалия,Венгрия,Япония,Финляндия,Аргентина,Мальта,Гонконг,США,Эстония,Россия","1 апреля,1995,23 ноября,1995,26 декабря,1995,20 июня,1997"
"Англичанин, который поднялся на холм, а спустился с горы",комедия,Кристофер Монгер,,1995
Англичанин в Нью-Йорке,"Биография,драма",Ричард Лэкстон,Великобритания,2009
Ангелы Чарли: Только вперёд,"боевик,приключенческий фильм,комедия",Макджи,США,2003
